"","RC1","RC3","RC2","Município","UF","ICE"
"1",2.62485394734719,3.07622291264134,-1.41473324321266,"São Paulo","SP",8.47472164098478
"2",0.666603018266795,1.9874764866653,0.573416519397331,"Rio de Janeiro","RJ",7.86339569845504
"3",1.1669742885114,0.548556783541389,0.995237772849263,"Brasília","DF",7.56506312231505
"4",-0.0381682601115289,0.360578936137209,-0.280024352953052,"Salvador","BA",6.02447175503594
"5",-0.496979212748934,0.86991442421336,-0.0576232706344515,"Fortaleza","CE",6.18204543391689
"6",1.59948091324851,-0.400150531952021,0.00304355611283921,"Belo Horizonte","MG",6.69419091642987
"7",-0.598468997130647,0.546954279320668,1.16824253334204,"Manaus","AM",6.64474310490898
"8",1.8575590182882,0.994297338545509,0.134019850721212,"Curitiba","PR",7.72389643219873
"9",1.03830333155739,-1.2326670797302,0.196708582871962,"Recife","PE",6.00135379094476
"10",-0.131781532471766,2.36122862535968,0.713328733835868,"Goiânia","GO",7.6990124157237
"11",0.269805607560063,-2.01823573425787,1.26320247348592,"Belém","PA",5.71985368379987
"12",2.09072497586687,-0.493960154155949,-0.162600193836151,"Porto Alegre","RS",6.82801533396574
"13",-0.0701377612313007,-0.251493346065472,-3.02374422184031,"Guarulhos","SP",4.06854665318237
"14",1.54430140069953,-0.5310489461593,-0.681251700830452,"Campinas","SP",6.1916807245255
"15",-0.147430243274676,-0.171279305341977,0.508809427841994,"São Luís","MA",6.10975421644367
"16",-1.54563998591611,1.67551170872546,-0.037208996728993,"São Gonçalo","RJ",6.05349884984634
"17",-0.665991228101311,-0.825661470442883,1.15676476665826,"Maceió","AL",5.8066523623773
"18",-0.740669454273003,0.151838035557875,-0.114051996893753,"Duque de Caxias","RJ",5.59419007078929
"19",0.121298656288238,-1.13045259298575,0.618837589400273,"Campo Grande","MS",5.77465075181883
"20",0.623908703430952,-1.52865056593402,1.1388308979261,"Natal","RN",6.13515136761582
"21",-0.00642041121726586,-1.22333766875644,0.935062377358332,"Teresina","PI",5.82985735676599
"22",1.07250391717231,0.189894983743888,-0.544693259613308,"São Bernardo do Campo","SP",6.41436754520514
"23",0.184583626656891,-0.973935824877658,0.73556538054947,"João Pessoa","PB",5.96894616633862
"24",-1.09069433576654,0.681376717860959,0.186237565828654,"Nova Iguaçu","RJ",5.87120467188255
"25",1.05854595174464,-0.154587978265937,0.297482585585144,"São José dos Campos","SP",6.69365203019084
"26",0.899142395496479,0.093239515792571,0.209279721561365,"Santo André","SP",6.69377966720103
"27",0.561828617832682,-0.0474766415050685,-0.439259967667329,"Ribeirão Preto","SP",6.04335439141401
"28",-1.79911736034868,0.77252140613864,-0.54784321532783,"Jaboatão dos Guararapes","PE",5.09099712164462
"29",0.509110525092145,0.154535410536545,-0.40975049049243,"Uberlândia","MG",6.14658660359544
"30",1.43364215269964,0.909296583778983,-0.203206444346516,"Osasco","SP",7.23537501485621
"31",1.16314367842717,-0.740432128950467,-0.0451055735179755,"Sorocaba","SP",6.21801091186738
"32",-0.7331490915071,0.809382658993673,0.179331402308784,"Contagem","MG",6.14755050410679
"33",-0.394242700950422,0.177614363401413,1.37367178750717,"Aracaju","SE",6.66801934729744
"34",-0.812923822340611,-0.380886488450057,0.172473012817875,"Feira de Santana","BA",5.410330636082
"35",0.221534894260792,-0.931980267030717,0.943582819069554,"Cuiabá","MT",6.13460196737927
"36",1.30195771481207,1.72634029409737,0.662364579636976,"Joinville","SC",8.13080503898535
"37",-1.37124917305471,1.69110900637645,0.816728106425917,"Aparecida de Goiânia","GO",6.65620935297099
"38",0.214230890561288,0.980073451297586,0.100339726553989,"Londrina","PR",6.74746310140292
"39",0.607749831433443,-1.47615391585442,-0.318331647751154,"Juiz de Fora","MG",5.31483780557347
"40",-0.270254689947188,-0.0557774906829808,0.545828969287826,"Porto Velho","RO",6.12689973509851
"41",-1.277548787542,-0.663133492017126,1.20326501034514,"Ananindeua","PA",5.57425194111422
"42",-0.242252131491752,0.523492734837402,0.641151762364499,"Serra","ES",6.53254348064121
"43",0.93784898025686,-0.442865256334351,0.564425857516669,"Caxias do Sul","RS",6.61165040702598
"44",-1.08281392457798,1.38524675832689,1.39351289515731,"Macapá","AP",6.979154723115
"45",1.32878621650057,1.43676319500101,0.587334342577852,"Niterói","RJ",7.93578833797928
"46",2.52159831317267,0.73705501015956,0.798363602652961,"Florianópolis","SC",8.34231981432442
"47",-2.17590520585197,0.898235810085717,-0.678028453398977,"Belford Roxo","RJ",4.87087732033088
"48",-0.382093322342538,-0.0239159479788248,-1.81444074368035,"Campos dos Goytacazes","RJ",4.718022586694
"49",0.366766767101732,-0.722177271967246,1.07628838611445,"Vila Velha","ES",6.41619903879192
"50",-0.616624597004224,0.457748029479042,-1.69975289753346,"Mauá","SP",4.92691977802462
"51",-1.26937486713066,-0.830342738447816,0.266814597937512,"São João de Meriti","RJ",4.94177295514002
"52",0.542188577499888,-0.455960607574454,-2.05993633623167,"São José do Rio Preto","SP",4.86047894341128
"53",0.180933290819101,0.580368238347053,-0.474816864074155,"Mogi das Cruzes","SP",6.16540199850957
"54",-0.638976221043442,0.58005976001115,-0.304641836160144,"Betim","MG",5.79009951924983
"55",-0.354993046562867,0.650354435679507,2.39860689823263,"Boa Vista","RR",7.55536331588942
"56",0.464261531638445,0.681720852794383,0.377859488398233,"Maringá","PR",6.87979051548144
"57",0.446361803477273,0.152600453764223,-1.37593564845732,"Santos","SP",5.55141420342837
"58",0.113944946669615,-0.149490397740395,-1.372969891191,"Diadema","SP",5.18679328798744
