,,Iniciativa,Iniciativa,Iniciativa,Iniciativa,Instituições,Instituições,Instituições,Instituições,Instituições,Índice de Cultura
,,Pesquisas pelo Termo Empreendedora,Pesquisas pelo Termo Empreendedorismo,Pesquisas pelo Termo MEI,Índice de Iniciativa,Pesquisas por Sebrae,Pesquisas por Franquia,Pesquisas por SIMPLES Nacional,Pesquisas por Senac,Índice de Instituições,
Município,UF,,,,,,,,,,
Piracicaba,SP,0,0,0,5.77842627173879,0,0,0,16,6.572522225310268,6.212721977746095
Carapicuíba,SP,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Anápolis,GO,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Olinda,PE,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Cariacica,ES,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Bauru,SP,0,0,0,5.77842627173879,0,0,0,17,6.6449815057335915,6.256642044557362
Itaquaquecetuba,SP,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
São Vicente,SP,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Vitória,ES,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Caruaru,PE,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Caucaia,CE,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Blumenau,SC,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Petrolina,PE,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Ponta Grossa,PR,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Franca,SP,0,0,0,5.77842627173879,0,0,61,0,8.329740639238164,7.277832612171596
Canoas,RS,0,0,0,5.77842627173879,0,0,0,13,6.355144384040299,6.080961777312296
Pelotas,RS,0,0,0,5.77842627173879,0,0,0,14,6.427603664463622,6.124881844123562
Vitória da Conquista,BA,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Ribeirão das Neves,MG,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Uberaba,MG,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Paulista,PE,0,0,0,5.77842627173879,0,0,0,15,6.500062944886945,6.168801910934829
Praia Grande,SP,0,0,0,5.77842627173879,0,36,0,0,7.642676367438288,6.861379280799956
Cascavel,PR,0,0,48,9.44254288413899,0,0,53,0,7.947240062097041,9.266933175625581
São José dos Pinhais,PR,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Guarujá,SP,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Taubaté,SP,0,0,0,5.77842627173879,0,0,0,17,6.6449815057335915,6.256642044557362
Palmas,TO,0,0,0,5.77842627173879,83,0,52,16,10.7427536249293,8.740442935222717
