"","Município","UF","Índice de Acesso a Capital","Índice de Ambiente Regulatório","Índice de Capital Humano","Índice de Cultura","Índice de Infraestrutura","Índice de Inovação","Índice de Mercado","Indíce Cidades Empreendendoras 2023"
"47","Belford Roxo","RJ",5.30643972032167,6.22777631051816,3.34801993118456,5.51000090876583,5.82592962621781,4.54167509932201,4.5666189725241,4.52084111984102
"48","Campos dos Goytacazes","RJ",5.54218689902614,6.79958218945441,6.20137367118065,5.51000090876583,5.24577180900777,5.22859255233836,6.99345216896076,6.52906135740695
"49","Vila Velha","ES",5.62704001447244,6.08355338597233,7.34884304934527,5.51000090876583,5.61688006792151,5.46070279171495,5.74457077326797,5.15205582476475
"50","Mauá","SP",5.5183995949029,6.11860315963521,5.28211315834424,6.03704171050103,5.68003005767662,6.11384193229329,6.51562660677758,6.45986340206236
"51","São João de Meriti","RJ",5.41428216946763,5.15842009079214,4.90759898474454,8.33245482538956,5.32278866737516,4.69988103538743,4.69603445065029,5.99992971092379
"52","São José do Rio Preto","SP",6.24211771319549,5.46988183520182,7.0682703966179,5.51000090876583,6.40865062675002,6.59617663652631,6.242107913446,5.45931945590394
"53","Mogi das Cruzes","SP",5.71564582855618,6.2964271859694,6.70569733994442,6.16178397827712,7.01094364751434,5.84960871947083,5.89452950798247,6.59337363208314
"54","Betim","MG",5.54589160406505,6.95640325809103,5.01223517119008,5.51000090876583,5.94990327878692,6.17215655027999,6.12649282519243,6.58742667098866
"55","Boa Vista","RR",5.64132587605167,6.60203728198709,5.52783484862,7.44776808599844,5.93076416580925,4.5944020806027,6.68489046105638,7.98369971563261
"56","Maringá","PR",6.09659357230179,5.72989453206305,6.27310577889989,5.51000090876583,7.00552407564717,6.87551769574557,6.75244028658663,6.33400632564169
"57","Santos","SP",6.42527377573674,5.22669694392673,6.94028721306537,5.51000090876583,6.73320329822102,5.60618081863198,6.53094443257168,5.29976502889267
"58","Diadema","SP",5.65426077060125,5.6921314552945,5.6116532517296,6.0809617773123,5.72750358268087,7.01702164250801,7.77072683056254,7.1803265524545
"59","Jundiaí","SP",6.05173149131363,5.87048239927984,7.08729653303855,10.0559930331059,6.26350197204262,6.70965983815936,8.25002075784518,11.2768821888837
"60","Rio Branco","AC",5.68953929743638,5.04408345682547,5.44311683056564,5.51000090876583,5.83886761366566,4.81762667693787,4.91373646951133,3.65184397552325
"61","Montes Claros","MG",5.66554631997065,5.10149062683484,6.4287116897915,5.51000090876583,6.10510099447383,4.80393598515581,5.17837329472556,3.91680267500439
"62","Campina Grande","PB",5.6869671474785,5.85137738394193,6.26527458879315,5.51000090876583,5.42751824791684,7.56386692185613,4.8558770774093,4.84010977716817
"63","Piracicaba","SP",6.23129291721007,5.71515248702206,6.71513751610843,6.21272197774609,7.65869761076225,6.92243340259549,7.00834647338606,7.3215335042855
"64","Carapicuíba","SP",5.37267447548312,2.99442387623267,5.19184046035877,5.51000090876583,5.98718953999889,6.01893613283561,6.44121622972019,3.18887069081033
"65","Anápolis","GO",5.6864221661431,6.60392921626322,5.29371713565921,5.51000090876583,6.62858713583543,5.31903296378918,5.476056202593,5.81764970665859
"66","Olinda","PE",5.43615884418952,5.39681086583714,5.49826733220683,5.51000090876583,4.67230448897204,5.07281525352376,4.34134473151202,3.28220594005209
"67","Cariacica","ES",5.44798591548542,7.05543823929322,5.50033391448618,5.51000090876583,4.86604285516691,4.93817149573383,6.16884359381947,6.04730862488079
"68","Bauru","SP",5.94077103217132,5.65945950673909,7.35525522724359,6.25664204455736,6.34015197824678,5.89505460700536,5.82971691901923,5.82675068440964
"69","Itaquaquecetuba","SP",5.37613678686813,4.19824353056361,4.86697354643835,5.51000090876583,7.18083008871709,5.84813366001419,7.24893477185952,5.17065357671153
"70","São Vicente","SP",5.57490312051864,4.09038259051397,5.11232192063632,5.51000090876583,5.15731011081173,4.70730911076017,5.17102239661161,2.74238309281528
"71","Vitória","ES",7.32028303005263,5.50043323239973,8.04469585889028,5.51000090876583,5.26505143103833,7.25158893977681,6.20434958153619,5.19876843984575
"72","Caruaru","PE",5.58917820181148,5.45233615340138,6.18639253382129,5.51000090876583,4.72313941345616,4.78865805302329,4.63341814927421,3.44235574146172
"73","Caucaia","CE",5.34687189804676,6.18206786419835,3.04031711313887,5.51000090876583,4.60790452393208,4.94114699425223,5.64746447937986,4.94242609999426
"74","Blumenau","SC",6.14683976975707,6.13949372325261,5.96096318639852,5.51000090876583,6.53074310478675,6.83881539245456,6.13808494616356,6.14467221815729
"75","Petrolina","PE",5.55725366982211,5.31073222282317,6.02957391353792,5.51000090876583,5.14211654183659,4.57210462246804,5.19389925344455,3.78045086179536
"76","Ponta Grossa","PR",5.74554948832029,6.43381025464246,6.37056746919182,5.51000090876583,7.73012945065192,5.53723204232088,5.60404277179015,6.09545873571378
"77","Franca","SP",5.91305641213212,5.72983864407564,6.98123086683836,7.2778326121716,6.52188468307493,5.84860057674918,6.44316353655511,7.29294852841642
"78","Canoas","RS",5.62249617600894,6.67279972939095,5.36220514569856,6.0809617773123,5.89976869098281,7.07939673481117,5.9865058575149,6.93868273880788
"79","Pelotas","RS",5.81128724339359,6.07821327893438,6.77417651937776,6.12488184412356,5.67474369511725,6.25142677008528,5.37650841055357,5.68718272900356
"80","Vitória da Conquista","BA",5.64790051737208,5.35847699375919,6.06582663159502,5.51000090876583,4.78996815358858,4.49477751875094,4.81754280160591,3.43668569894846
"81","Ribeirão das Neves","MG",5.30874198738281,5.74805341333372,4.17193017061128,5.51000090876583,5.43910683806156,5.04468533666481,4.43979789619947,3.96353009224557
"82","Uberaba","MG",5.74099320694705,6.4892804844731,6.0552540216743,5.51000090876583,6.3684411372925,5.92214820724966,5.95294297420121,6.06523318464876
"83","Paulista","PE",5.38263981882207,6.78815135991017,4.79131495661665,6.16880191093483,5.10005642708737,4.93759205663318,4.71425822571545,5.52304898300146
"84","Praia Grande","SP",5.5924735918252,7.25751698919242,6.90556556699702,6.86137928079996,5.39690170420523,4.46970115938358,7.18225516777356,8.12212407644561
"85","Cascavel","PR",5.96397932466523,7.09056793831301,6.49805337691318,9.26693317562558,6.95633262039646,6.45692247439235,6.54183674603412,10.692850213196
"86","São José dos Pinhais","PR",5.55626082686135,7.29942461024667,5.29028156155861,5.51000090876583,6.06005064977058,6.58329734934517,8.30243101481596,8.49268243579671
"87","Guarujá","SP",5.55997397592639,5.74930808738137,5.49737138373053,5.51000090876583,5.97447518582797,5.64636043373258,5.50718180835594,4.93401540114276
"88","Taubaté","SP",5.69499490070293,4.780717033638,6.67696932013798,6.25664204455736,6.15856728165417,5.83312898135068,6.33250283923239,5.33775662077999
"89","Palmas","TO",5.97292719835484,5.58741819652699,6.42370317555708,8.74044293522272,6.32739992995945,5.44898626093446,5.72881331509694,7.87034693151757
"90","Limeira","SP",5.76800524952957,5.39092712246103,7.29324274815111,6.12488184412356,8.06772466139316,6.5665823888911,6.7325999581867,6.7843487793511
"91","Camaçari","BA",5.47945910342319,5.8472484448585,5.02235900903368,5.51000090876583,4.66867134727817,6.48466642729521,6.51906410661655,5.52749623091469
"92","Santarém","PA",5.51123805442552,6.42133635234336,6.0290530820266,5.51000090876583,4.02351557383634,4.55153011884236,4.77652553318757,4.14813066074106
"93","Petrópolis","RJ",5.70468514596315,6.53758693821999,5.54625409569875,5.51000090876583,6.19899032382121,5.24614323881091,5.42762026662098,5.56094543122884
"94","Mossoró","RN",5.63579377867949,4.63859323274039,6.42219888686725,5.51000090876583,5.57876220460196,5.2455166554317,5.50865885280897,3.66573692947273
"95","Suzano","SP",5.54228271279393,6.22064610884993,6.30432248828494,6.17408177204148,7.00459030093273,5.41728748205176,5.87343603382101,6.43692075810342
"96","Taboão da Serra","SP",5.5346078737269,4.85950954241416,5.82463193681558,11.6300130498082,6.21799809915153,6.5774241186129,6.53478384088532,10.6460120206835
"97","Várzea Grande","MT",5.50388766073382,6.45548014493843,5.2322462307443,5.51000090876583,7.35683627873375,5.22533265366961,5.10135969454057,5.6401360623793
"98","Sumaré","SP",5.51065653766091,5.15719555059725,4.20471163367008,5.51000090876583,6.08991845731155,5.74635072791721,6.52521872036539,5.21075016815314
"99","Marabá","PA",5.45408114753087,6.10823597289765,4.79579768511276,5.51000090876583,4.86484442995122,5.35271729932753,5.33159857885491,4.75692169115433
"100","Gravataí","RS",5.4580402482807,7.32266932463133,5.22646716228218,6.30056211136863,5.61276017472802,5.89196929230644,6.19636981108057,7.49895398073943
"101","Santa Maria","RS",5.90754222039732,6.50444737936327,7.65017208062455,5.51000090876583,6.13061808660804,7.06083316465247,6.02189752501586,6.24915380081457
