,Município,UF,Índice de Acesso a Capital,Rank Acesso a Capital,Índice de Ambiente Regulatório,Rank Ambiente RegulatÃ³rio,Índice de Capital Humano,Rank Capital Humano,Índice de Cultura,Rank Cultura,Índice de Infraestrutura,Rank Infraestrutura,Índice de Inovação,Rank InovaÃ§Ã£o,Índice de Mercado,Rank Mercado,Índice Cidades Empreendendoras 2023,Rank ICE 23
5,Fortaleza,CE,5.98008835,26,6.559104308,24,4.935329193,87,6.448872389,26,6.360774606,30,6.353653977,36,5.12873202,80,6.184845093,40
29,Uberlândia,MG,5.973792965,27,6.373755973,33,6.616807838,28,5.533591845,80,6.416718327,27,6.602547212,27,6.394312355,37,6.163868774,41
76,Ponta Grossa,PR,5.745549488,47,6.411658902,29,6.370567469,38,5.60754156,77,7.817201369,4,5.614226634,63,7.036167556,17,6.15620933,42
32,Contagem,MG,5.634943253,63,6.885018443,18,5.38104295,73,5.806226437,66,4.995575419,85,5.44911126,71,6.105725332,47,6.133306316,43
58,Diadema,SP,5.654260771,58,5.826590831,59,5.611653252,64,6.094634109,46,5.880468513,53,7.049192041,18,6.435885124,34,6.120116456,44
23,João Pessoa,PB,5.889864983,36,5.344095502,71,6.508949837,32,6.816596168,17,5.473318788,73,6.294938404,37,5.535233234,68,6.108349851,45
4,Salvador,BA,6.059955672,22,6.187845471,43,5.826294867,59,6.222704685,37,6.698387211,22,6.060109099,43,5.640200243,62,6.098442634,46
35,Cuiabá,MT,6.268648976,15,5.285387034,75,6.470972818,34,6.74558069,19,5.461035751,74,6.083662845,41,5.59975645,66,6.094693103,47
31,Sorocaba,SP,5.854294093,40,5.253359681,76,6.776887389,23,6.002739751,53,7.271292235,13,7.034630883,19,6.960086623,19,6.088872203,48
90,Limeira,SP,5.76800525,46,5.734621649,61,7.293242748,7,5.129696858,88,7.980646904,2,8.056618227,2,7.135811087,15,6.057113983,49
21,Teresina,PI,5.815058153,43,5.306212867,73,7.164304937,9,6.972432814,15,5.246268893,79,5.2639193,77,5.334941268,73,6.051455521,50
68,Bauru,SP,5.940771032,31,6.038078115,51,7.355255227,5,5.207093804,86,5.921781921,49,6.77355392,23,6.686778277,25,6.023936108,51
77,Franca,SP,5.913056412,32,6.084972459,49,6.981230867,18,5.836909354,64,6.0246916,47,5.8983801,50,5.706603992,60,5.962053526,52
20,Natal,RN,5.834115098,41,4.463965929,96,6.614807558,29,7.028406162,14,6.370082481,29,6.002072989,46,6.281889062,39,5.957697118,53
17,Maceió,AL,5.82550581,42,5.199942659,79,5.480552547,71,7.411588373,5,5.040541207,83,5.67500831,59,4.596520919,93,5.912061614,54
84,Praia Grande,SP,5.592473592,67,7.566935868,8,6.905565567,21,5.645409205,75,5.786600364,57,4.034184203,101,4.454569949,97,5.901316748,55
16,São Gonçalo,RJ,5.415889904,92,7.392302604,11,4.522700009,95,5.821450138,65,5.523789055,70,4.696868393,94,5.200731934,79,5.889753081,56
57,Santos,SP,6.425273776,12,5.901279389,57,6.940287213,20,5.589371951,79,7.76929511,5,5.022484629,82,6.475517929,32,5.878701559,57
9,Recife,PE,6.355119162,14,4.992064395,88,7.128138011,11,6.142593016,43,6.778063016,20,7.07210702,16,5.689874973,61,5.863638564,58
100,Gravataí,RS,5.458040248,86,6.203758094,42,5.226467162,81,5.893937379,60,5.854320817,54,5.73310279,56,6.141328468,46,5.851452414,59
95,Suzano,SP,5.542282713,76,6.335210595,34,6.304322488,39,5.472835992,83,7.226814514,14,5.284695518,75,6.483065522,31,5.829663543,60
11,Belém,PA,5.957649174,30,3.918120591,100,5.724834799,63,7.067820854,12,4.720633355,92,6.280984399,38,6.607892753,27,5.798274899,61
93,Petrópolis,RJ,5.704685146,52,6.308383816,36,5.546254096,66,5.939006772,58,6.309852457,33,5.22364514,78,5.606138569,65,5.790504983,62
24,Nova Iguaçu,RJ,5.459140261,85,6.821504039,20,5.75027385,62,6.093932474,47,5.698880798,63,4.877161292,86,4.518702707,96,5.773596721,63
19,Campo Grande,MS,5.911439677,33,4.886463169,91,6.178750155,47,6.426301223,29,5.513850867,71,5.72616507,57,6.250502817,43,5.761011401,64
54,Betim,MG,5.545891604,75,6.395745205,31,5.012235171,86,5.518690336,81,5.49657122,72,5.811261746,54,6.167670703,44,5.752559128,65
