"","RC1","RC3","RC2","Município","UF","ICE"
"1",3.56832757109153,2.63191271909093,-0.458709629157462,"São Paulo","SP",9.31487427270327
"2",0.775663964296517,1.91647802978719,-0.835124230653881,"Rio de Janeiro","RJ",7.07214970560613
"3",1.3877860955805,0.90570141825485,0.567663732593488,"Brasília","DF",7.65188644231792
"4",-0.454762480545368,-0.266214466540911,-0.788026681667839,"Salvador","BA",5.12877634873069
"5",-0.469002471495345,0.597126403330155,-0.705096106250195,"Fortaleza","CE",5.66688495978635
"6",1.82569370255477,-0.735581417760216,-1.06233603747676,"Belo Horizonte","MG",6.01603662386601
"7",-0.74748299882371,0.723516022512586,-0.594967072767285,"Manaus","AM",5.64265826015396
"8",1.89974714320963,0.428647143110288,-1.14993421350432,"Curitiba","PR",6.68038424026931
"9",0.786631187288731,-1.62572683908637,-0.684503480101542,"Recife","PE",5.12034963106093
"10",0.224237593373366,2.27671339085008,-0.475706090549131,"Goiânia","GO",7.16927568453778
"11",-0.342217656318888,-2.20955540961698,-0.156065449963458,"Belém","PA",4.43662870392349
"12",1.85753572540764,-1.11756177286102,-1.01593876173421,"Porto Alegre","RS",5.84067164312868
"13",0.358222802806007,0.0322020241528589,-0.0259473777798964,"Guarulhos","SP",6.21043115339703
"14",1.73199029526541,-0.593782928936817,-0.449360856093535,"Campinas","SP",6.39770571811455
"15",-0.541662727673795,-0.41369468587795,0.146115046442988,"São Luís","MA",5.53278370151011
"16",-1.69545122435243,1.34967123548712,-0.643130286230955,"São Gonçalo","RJ",5.42905238646878
"17",-0.774322600865452,-0.934820520172636,-0.705038505150449,"Maceió","AL",4.6061715882474
"18",-0.706292158767877,0.100560384405143,-0.41197335552525,"Duque de Caxias","RJ",5.41242766930351
"19",0.157296844810382,-0.960112904369577,-0.3392808687731,"Campo Grande","MS",5.3406100309867
"20",-0.0508963271618144,-1.90183257902585,0.0450381292163928,"Natal","RN",4.89859421638507
"21",-0.0791921504346134,-1.19703069731333,0.830069008123738,"Teresina","PI",5.74241296059298
"22",0.936001220074856,0.209181340181987,0.398554122917619,"São Bernardo do Campo","SP",6.89127678958868
"23",-0.05551310634069,-1.18710374232705,-0.0585693116397208,"João Pessoa","PB",5.24875982008067
"24",-0.984688687662553,0.511697298727086,-0.497104934132245,"Nova Iguaçu","RJ",5.43991462673699
"25",0.96757928064134,-0.147080438228986,1.79991048162673,"São José dos Campos","SP",7.51289402862097
"26",0.589383268663538,-0.0756307514636279,0.896125545262279,"Santo André","SP",6.81399347888709
"27",0.787189113942218,0.0340966627951876,-0.45784102496229,"Ribeirão Preto","SP",6.20983492527292
"28",-1.61288314243435,0.649189236046508,-0.539634178739319,"Jaboatão dos Guararapes","PE",5.13205312537151
"29",0.645620296257271,0.112193701676726,-0.398553857658217,"Uberlândia","MG",6.20741893869732
"30",1.6289115784768,0.651521481119975,-0.623253233120568,"Osasco","SP",6.95677321891165
"31",1.12637057317939,-0.596652724292241,0.356925496890454,"Sorocaba","SP",6.51190377435989
"32",-0.729606055435491,0.910222930985246,-0.465522412328644,"Contagem","MG",5.83550971164709
"33",-0.714559426440934,-0.0507660026223371,0.472656759904588,"Aracaju","SE",5.83102766507786
"34",-0.689972288800287,-0.390898147464902,-0.545310060704214,"Feira de Santana","BA",5.0611242523238
"35",0.531348135151846,-0.723197641140969,0.24997038793817,"Cuiabá","MT",6.03355610683882
"36",0.937409029242657,1.65610007705893,-0.485810055902993,"Joinville","SC",7.21688061411835
"37",-1.06267826758142,1.80532865604392,-0.0635914401053359,"Aparecida de Goiânia","GO",6.39205486662963
"38",0.415489203596147,0.869875985230424,-0.557283994882204,"Londrina","PR",6.42035787331568
"39",0.532631599499211,-1.49500310107378,-0.287296084699928,"Juiz de Fora","MG",5.27850408266687
"40",-0.502312209613123,-0.220677908199823,-0.643474463208413,"Porto Velho","RO",5.21107130630923
"41",-1.40291701977404,-0.489023515025402,0.173222174747789,"Ananindeua","PA",5.00769749216303
"42",-0.517580038233029,0.729514508847693,-0.269307204006773,"Serra","ES",5.96687583693192
"43",0.923838529770065,-0.010406306964774,-0.347723761404017,"Caxias do Sul","RS",6.32661193247287
"44",-1.2154664431909,1.31026081238717,1.07005216506106,"Macapá","AP",6.67252446011807
"45",0.823360243147555,1.87449961425036,0.097022452074549,"Niterói","RJ",7.61362605372725
"46",2.28056620096615,0.243226113724898,-0.731101224561571,"Florianópolis","SC",7.0350106834601
"47",-1.87705224275095,0.699206975765368,-0.567287888270573,"Belford Roxo","RJ",4.99244690304112
"48",-0.272730338591405,0.420451213830969,-0.165465668715941,"Campos dos Goytacazes","RJ",5.9897550387097
"49",0.108864705159994,-0.727582942905962,-0.296334580733635,"Vila Velha","ES",5.47169400892807
"50",-0.414116355678713,0.628590414744574,0.147186356147726,"Mauá","SP",6.2088047380788
"51",-1.35600747856534,-0.941559474632655,2.11577540061347,"São João de Meriti","RJ",5.89504259817892
"52",0.953641550359548,-0.3730736055762,-0.481985180679478,"São José do Rio Preto","SP",6.05691678539283
"53",0.194168307355965,0.426907085533019,0.335020467225031,"Mogi das Cruzes","SP",6.55200220220791
"54",-0.540976981426924,0.742359809437182,-0.391914338402653,"Betim","MG",5.88999658118584
"55",-0.680395450835197,1.06302547024818,1.59824034594708,"Boa Vista","RR",7.14365603867038
"56",0.740572979206285,0.818995105481447,-0.377293734500736,"Maringá","PR",6.68258641433645
"57",0.376885168937767,0.00491327006714701,-0.193682596451839,"Santos","SP",6.10860873233685
"58",0.397673331512279,0.35008813113491,0.294133469788285,"Diadema","SP",6.60153831970893
