,,Desenvolvimento Econômico,Desenvolvimento Econômico,Desenvolvimento Econômico,Desenvolvimento Econômico,Clientes Potenciais,Clientes Potenciais,Clientes Potenciais,Clientes Potenciais,Índice de Mercado
,,Índice de Desenvolvimento Humano,Crescimento Real Médio do PIB,Número de Empresas Exportadoras com Sede na Cidade,Índice de Desenvolvimento Econômico,PIB per capita,Proporção entre Grandes/Médias e Médias/Pequenas Empresas,Compras Públicas,Índice de Clientes Potenciais,
Município,UF,,,,,,,,,
Manaus,AM,0.737,0.010587613,0.019044341,6.404177263,37.6201561,1.181203553,1034996.872,6.032479298,6.263441323
Marabá,PA,0.668,0.095644028,0.003075977,5.759190483,39.69092413,1.950511299,947437.114,7.665256863,6.859390025
Maringá,PR,0.808,0.008902976,0.007909842,6.625165511,44.2453926,0.733695652,371563.8994,5.35511642,5.988103799
Mauá,SP,0.766,-0.011610785,0.023375289,6.72792866,33.80062276,0.788888889,846829.8365,5.103678147,5.898405911
Mogi das Cruzes,SP,0.783,-0.016402122,0.01099378,6.111778338,35.60332055,1.076979167,776124.2592,5.750861776,5.917128761
Montes Claros,MG,0.77,-0.017991859,0.001601067,5.332436184,23.26886207,1.099823746,460726.1675,5.368047296,5.215982579
Mossoró,RN,0.72,0.005557098,0.00445254,5.197756631,22.79863196,0.729336516,468584.3021,4.600062741,4.671392052
Natal,RN,0.763,-0.009464414,0.002733429,5.436631232,27.71861855,1.843009015,564886.4365,7.030602637,6.281889062
Niterói,RJ,0.837,0.20872437,0.003645922,9.702631591,90.04818939,0.900201632,930973.0466,7.286558745,9.010051877
Nova Iguaçu,RJ,0.713,-0.025104383,0.002051444,4.501865004,21.11089815,0.976548594,941181.1011,5.04287029,4.518702707
Olinda,PE,0.735,-0.021933398,0.001131862,4.782374078,14.66702647,1.853909465,628655.2061,6.59860492,5.626535529
Osasco,SP,0.776,-0.025716685,0.01365343,6.046694824,116.7954601,0.921483833,1116026.863,8.260368834,7.391885422
Palmas,TO,0.788,0.033108555,0.001651255,6.330218628,33.34812302,1.479619105,679481.8151,6.489248477,6.494396552
Paulista,PE,0.732,0.006305288,0.002690583,5.257861117,13.47289705,1.498702422,772396.7346,5.836432878,5.453574252
Pelotas,RS,0.739,-0.001468104,0.005825854,5.430180562,27.47294562,1.018580819,549969.0934,5.349501457,5.263764222
Petrolina,PE,0.697,0.025466451,0.009324419,5.491593308,20.21900983,1.127803489,546661.1632,5.318695663,5.282229846
Petrópolis,RJ,0.745,-0.028109686,0.00675904,5.172929076,44.42078634,1.13444753,682920.7483,6.174241763,5.606138569
Piracicaba,SP,0.785,0.029547543,0.017377399,7.215634397,67.81458778,1.191516223,554036.0538,7.103974179,7.399453955
Ponta Grossa,PR,0.763,0.010002912,0.008592201,6.089221118,43.48311494,1.86722618,332150.1453,7.628236709,7.036167556
Porto Alegre,RS,0.805,-0.010650546,0.007065735,6.24344994,55.22936088,1.409395302,642154.1416,7.108109534,6.8154157
Porto Velho,RO,0.736,0.014172877,0.006083547,5.638201997,32.62957417,1.547876283,709606.2001,6.602723878,6.145354122
Praia Grande,SP,0.754,0.016352894,0.001325507,5.612513658,22.64003995,0.3504696,921974.4429,3.825920963,4.454569949
Recife,PE,0.772,-0.018450231,0.001874861,5.369100647,32.92634753,1.303298495,531802.1492,6.116864098,5.689874973
Ribeirão Preto,SP,0.8,0.002395909,0.008357135,6.450889445,49.09657194,0.951993763,492108.8588,5.966777305,6.251984491
Ribeirão das Neves,MG,0.684,0.008562379,0.003630705,4.715436982,12.72729962,1.37204142,898768.4515,5.553528173,4.955641229
Rio Branco,AC,0.727,-0.002150165,0.002147305,5.03278315,21.79896627,1.169693239,569268.165,5.458651601,5.089860407
Rio de Janeiro,RJ,0.799,-0.024804746,0.005924754,5.883595618,52.39145275,1.401563285,810772.7787,6.993479326,6.529152208
Salvador,BA,0.759,-0.03754573,0.001704678,4.903923725,21.9990008,1.679414233,570356.4545,6.49970467,5.640200243
Santa Maria,RS,0.784,0.037498144,0.003065917,6.430328617,30.74374296,1.002148228,418066.3419,5.429966774,5.915714156
Santarém,PA,0.691,-0.014371917,0.007617931,4.716195013,16.62511716,0.994897959,705406.0117,4.924019955,4.576306998
Santo André,SP,0.815,-0.01157981,0.011599269,6.643714291,41.91122672,1.485278926,732180.7523,6.798672046,6.870212882
Santos,SP,0.84,-0.036063337,0.010337489,6.533027203,52.42763329,1.037007696,756382.4685,6.255148401,6.475517929
Serra,ES,0.739,0.075000193,0.01509434,7.138959614,48.18725886,1.075428617,610436.0507,6.185556683,6.799100154
Sorocaba,SP,0.798,0.01443841,0.0192687,7.28125377,53.61990025,1.043646042,709747.287,6.310099168,6.960086623
Sumaré,SP,0.762,0.012908796,0.016820402,6.630644297,51.20997326,0.964357318,654239.0598,6.065392638,6.419929315
Suzano,SP,0.765,-0.006689757,0.016060862,6.332808099,39.68508917,1.360404104,762917.5725,6.467877715,6.483065522
São Bernardo do Campo,SP,0.805,0.005237705,0.02039583,7.307575297,60.08764593,1.212891877,1034483.72,6.878491739,7.318886381
São Gonçalo,RJ,0.739,-0.023619987,0.003888249,4.981637276,16.7081377,1.372796682,688472.6724,5.693568112,5.200731934
São José do Rio Preto,SP,0.797,0.008819285,0.006292204,6.377985138,40.02067681,0.962666642,472043.8925,5.672646733,6.030546952
São José dos Campos,SP,0.807,-0.03658051,0.013742331,6.300984582,58.94043211,1.005227473,839109.3776,6.417278227,6.433338512
São José dos Pinhais,PR,0.758,0.084081926,0.028087986,8.332440375,89.54243918,0.831793664,nan,7.130179652,8.089049567
São João de Meriti,RJ,0.719,-0.038161282,0.001978239,4.383228798,20.69333207,0.954561043,939632.0866,4.983734559,4.411450284
São Luís,MA,0.768,-0.007636092,0.002667041,5.525654405,28.76855041,1.564862524,646401.5575,6.50284567,6.017194514
São Paulo,SP,0.805,-0.015277015,0.01309601,6.549874005,61.61528429,1.367010204,804009.5502,7.244310336,7.082457789
São Vicente,SP,0.768,-0.021775838,0.004186795,5.410737886,14.95854805,0.998311128,1139458.627,4.872958452,4.964528769
Taboão da Serra,SP,0.769,-0.024666497,0.021621622,6.465180454,29.61921231,0.649285714,861785.2847,4.674972773,5.481241801
Taubaté,SP,0.8,0.003354428,0.009977827,6.565854254,57.21953744,1.351990504,730227.5257,7.06089534,6.981441945
Teresina,PI,0.751,-0.005301351,0.000358064,5.192017731,25.27493727,1.231824197,709659.3736,5.705640937,5.334941268
Uberaba,MG,0.772,-0.002940362,0.006015038,5.856224094,45.67305754,1.005612004,462459.1372,5.956438557,5.886976623
Uberlândia,MG,0.789,-0.002902157,0.004382761,5.979950265,53.25270416,1.229131895,nan,6.673626308,6.394312355
Vila Velha,ES,0.8,-0.000554199,0.006653578,6.301276867,25.28165063,1.157453896,400262.1015,5.554996257,5.913287463
Vitória,ES,0.845,-0.036260655,0.007799344,6.438365153,58.49229841,1.557127745,452549.0998,7.521350124,7.182325037
Vitória da Conquista,BA,0.678,-0.000690237,0.001359311,4.357889907,21.1374275,0.842334213,405649.9915,4.77150679,4.268122825
Várzea Grande,MT,0.734,0.001613274,0.004106776,5.302855862,29.60444654,1.343106996,664422.4335,6.082044426,5.628901301
