,,Iniciativa,Iniciativa,Iniciativa,Instituições,Instituições,Instituições,Instituições,Instituições,Índice de Cultura
,,Pesquisas pelo Termo Empreendedor,Pesquisas pelo Termo MEI,Índice de Iniciativa,Pesquisas por Sebrae,Pesquisas por Franquia,Pesquisas por SIMPLES Nacional,Pesquisas por Senac,Índice de Instituições,
Município,UF,,,,,,,,,
Anápolis,GO,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Olinda,PE,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Cariacica,ES,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Bauru,SP,0,0,5.774879419128317,0,0,0,17,6.6449815057335915,6.280488807520452
Itaquaquecetuba,SP,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
São Vicente,SP,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Vitória,ES,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Caruaru,PE,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Caucaia,CE,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Blumenau,SC,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Petrolina,PE,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Ponta Grossa,PR,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Franca,SP,0,0,5.774879419128317,0,0,61,0,8.329740639238164,7.405995022396988
Canoas,RS,0,0,5.774879419128317,0,0,0,13,6.355144384040299,6.086862623646233
Pelotas,RS,0,0,5.774879419128317,0,0,0,14,6.427603664463622,6.135269169614788
Vitória da Conquista,BA,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Ribeirão das Neves,MG,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Uberaba,MG,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Paulista,PE,0,0,5.774879419128317,0,0,0,15,6.500062944886945,6.183675715583343
Praia Grande,SP,0,0,5.774879419128317,0,36,0,0,7.642676367438288,6.947000562861516
Cascavel,PR,0,48,10.24639724457581,0,0,53,0,7.947240062097041,10.137669974728496
São José dos Pinhais,PR,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Guarujá,SP,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Taubaté,SP,0,0,5.774879419128317,0,0,0,17,6.6449815057335915,6.280488807520452
Palmas,TO,0,0,5.774879419128317,83,0,52,16,10.7427536249293,9.01801246629339
Limeira,SP,0,0,5.774879419128317,0,0,0,14,6.427603664463622,6.135269169614788
Camaçari,BA,28,0,9.77859526348909,0,0,0,0,5.4131737385371,8.132266729878518
Santarém,PA,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Petrópolis,RJ,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Mossoró,RN,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Suzano,SP,0,0,5.774879419128317,54,0,0,0,6.508773654234612,6.189494919831483
Taboão da Serra,SP,0,0,5.774879419128317,40,36,0,16,9.613580347320722,8.263666330785401
Várzea Grande,MT,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Sumaré,SP,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Marabá,PA,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Gravataí,RS,0,0,5.774879419128317,0,0,0,18,6.7174407861569145,6.328895353489007
Santa Maria,RS,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
