Categoria: Todas as categorias

Cidade,Empreendedorismo: (19/09/2017 – 19/09/2022)
Floriano,100
Picos,60
Parnaíba,55
Teresina,49
Pedro II,
Corrente,
União,
Piripiri,
Oeiras,
Campo Maior,
São Raimundo Nonato,
Altos,
Barras,
José de Freitas,
Nova Iorque,
Pedro Laurentino,
Morro do Chapéu do Piauí,
