Categoria: Todas as categorias

Cidade,Empreendedorismo: (19/09/2017 – 19/09/2022)
Simão Dias,100
Aracaju,51
Lagarto,48
Itabaianinha,
Estância,
Tobias Barreto,
Propriá,
Nossa Senhora da Glória,
Itabaiana,
São Cristóvão,
