Category: All categories

City,empreendedorismo: (9/19/17 - 9/19/22)
Teotônio Vilela,100
Penedo,89
Maceió,80
Arapiraca,75
Rio Largo,68
São Miguel dos Campos,65
Murici,40
Coruripe,31
Olho d'Água das Flores,
Santana do Ipanema,
Palmeira dos Índios,
PeriPeri,
União dos Palmares,
Marechal Deodoro,
Pão de Açúcar,
Pilar,
Maragogi,
Craíbas,
Ouro Branco,
Santa Luzia do Norte,
