Categoria: Todas as categorias

Cidade,Empreendedorismo: (19/09/2017 – 19/09/2022)
Capanema,100
Santarém,89
Ananindeua,82
Marabá,78
Tucuruí,77
Castanhal,73
Parauapebas,73
Marituba,72
Belém,69
Abaetetuba,57
Altamira,44
Oriximiná,
Monte Alegre,
Moju,
Itaituba,
Santa Isabel do Pará,
Cametá,
Xinguara,
Redenção,
Santa Bárbara do Pará,
Paragominas,
Bragança,
Uruará,
Maracanã,
Placas,
Mujuí dos Campos,
