Categoria: Todas as categorias

Cidade,Empreendedorismo: (19/09/2017 – 19/09/2022)
Timon,100
Balsas,97
São José de Ribamar,88
Paço do Lumiar,82
Bacabal,78
São Luís,76
Santa Inês,67
Imperatriz,64
Caxias,61
Paraty,
Coelho Neto,
Rosário,
União,
Esperantinópolis,
Barra do Corda,
Grajaú,
Codó,
Açailândia,
Matões,
Arari,
Pinheiro,
Chapadinha,
Raposa,
Parnarama,
Vitorino Freire,
São Raimundo do Doca Bezerra,
