Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Coruripe,100
São Miguel dos Campos,95
Marechal Deodoro,88
Arapiraca,74
Maceió,71
Teotônio Vilela,66
Palmeira dos Índios,65
Penedo,63
Rio Largo,58
Santana do Ipanema,
Murici,
Olho d'Água das Flores,
Santa Luzia do Norte,
Maragogi,
Pilar,
União dos Palmares,
Ouro Branco,
Craíbas,
PeriPeri,
Pão de Açúcar,
