Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Palmas,100
Porto Nacional,83
Paraíso do Tocantins,78
Araguaína,71
Gurupi,62
Luzinópolis,
Couto de Magalhães,
Formoso do Araguaia,
Colinas do Tocantins,
Paranã,
Miranorte,
Miracema do Tocantins,
Guaraí,
Alvorada,
Palmeirante,
Fortaleza do Tabocão,
Nova Rosalândia,
