Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
São José de Ribamar,100
Timon,74
Balsas,72
Bacabal,70
São Luís,69
Paço do Lumiar,68
Imperatriz,66
Açailândia,60
Santa Inês,55
Caxias,54
Codó,51
Nova Iorque,
Matões,
Arari,
Raposa,
Parnarama,
Pio Xii,
União,
Grajaú,
Coelho Neto,
Pinheiro,
Vitorino Freire,
Barra do Corda,
Chapadinha,
Rosário,
Paraty,
São Raimundo do Doca Bezerra,
Altamira do Maranhão,
Esperantinópolis,
