Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Floriano,100
Piripiri,97
Parnaíba,72
Teresina,67
Picos,60
Nova Iorque,
Morro do Chapéu do Piauí,
Oeiras,
Pedro II,
Corrente,
Barras,
José de Freitas,
Campo Maior,
União,
São Raimundo Nonato,
Altos,
