Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Capanema,100
Parauapebas,95
Castanhal,93
Bragança,93
Marituba,92
Ananindeua,91
Redenção,91
Altamira,84
Santarém,82
Paragominas,80
Belém,77
Itaituba,76
Santa Isabel do Pará,72
Tucuruí,72
Marabá,72
Abaetetuba,59
Xinguara,58
Maracanã,
Uruará,
Monte Alegre,
Placas,
Oriximiná,
Cametá,
Mujuí dos Campos,
Santa Bárbara do Pará,
Moju,
Miritituba,
