Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Cidade Ocidental,100
Valparaíso de Goiás,100
Águas Lindas de Goiás,88
Novo Gama,85
Santo Antônio do Descoberto,77
Brasília,75
