Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Parnamirim,100
São Gonçalo do Amarante,96
Natal,89
Macaíba,87
Caicó,82
Açu,74
Mossoró,69
Currais Novos,62
Cana-brava,
Lagoa do Sal,
Touros,
Santo Antônio,
Pipa,
Ceará-Mirim,
Parelhas,
Sierra Caiada,
São José de Mipibu,
Cobé,
Santa Cruz,
Apodi,
São Paulo do Potengi,
Canguaretama,
Boa Cica,
Riacho da Cruz,
Maracajaú,
