Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Simão Dias,100
Penedo,90
Aracaju,88
Lagarto,76
Itabaiana,58
Itabaianinha,
Nossa Senhora da Glória,
Estância,
Tobias Barreto,
Propriá,
São Cristóvão,
