Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
João Pessoa,100
Campina Grande,89
Monteiro,
Mamanguape,
Belém,
Alagoa Grande,
Cuité,
Pombal,
Sousa,
Cajazeiras,
Patos,
Bayeux,
Santa Rita,
Cabedelo,
Aroeiras,
Conde,
Tavares,
Areia,
Itabaiana,
Esperança,
Guarabira,
Catolé do Rocha,
Queimadas,
Coremas,
Ingá,
Teixeira,
Lucena,
