Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Arapiraca,100
Maceió,66
Santa Luzia do Norte,
Craíbas,
Santana do Ipanema,
Palmeira dos Índios,
Teotônio Vilela,
Coruripe,
Penedo,
Olho d'Água das Flores,
Marechal Deodoro,
São Miguel dos Campos,
Maragogi,
Rio Largo,
Ouro Branco,
Pão de Açúcar,
Murici,
PeriPeri,
Pilar,
