Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Parnamirim,100
Natal,97
Mossoró,91
Cobé,
Touros,
Santa Cruz,
Caicó,
São Gonçalo do Amarante,
Canguaretama,
São José de Mipibu,
Currais Novos,
Ceará-Mirim,
Açu,
Pipa Beach,
Parelhas,
Sierra Caiada,
Santo Antônio,
Boa Cica,
São Paulo do Potengi,
Apodi,
Carnaubinha,
